"TAIR"	"SYMBOL"	"GENENAME"	"ENTREZID"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"ZT1_wt_1"	"ZT1_wt_2"	"ZT1_wt_3"	"ZT1_wt_4"	"ZT3_wt_1"	"ZT3_wt_2"	"ZT3_wt_3"	"ZT3_wt_4"	"ZT5_wt_1"	"ZT5_wt_2"	"ZT5_wt_3"	"ZT5_wt_4"	"ZT7_wt_1"	"ZT7_wt_2"	"ZT7_wt_3"	"ZT7_wt_4"	"ZT9_wt_1"	"ZT9_wt_2"	"ZT9_wt_3"	"ZT9_wt_4"	"ZT11_wt_1"	"ZT11_wt_2"	"ZT11_wt_3"	"ZT11_wt_4"	"ZT13_wt_1"	"ZT13_wt_2"	"ZT13_wt_3"	"ZT13_wt_4"	"ZT15_wt_1"	"ZT15_wt_2"	"ZT15_wt_3"	"ZT15_wt_4"	"ZT17_wt_1"	"ZT17_wt_2"	"ZT17_wt_4"	"ZT19_wt_1"	"ZT19_wt_2"	"ZT19_wt_3"	"ZT19_wt_4"	"ZT21_wt_1"	"ZT21_wt_2"	"ZT21_wt_3"	"ZT21_wt_4"	"ZT23_wt_1"	"ZT23_wt_2"	"ZT23_wt_3"	"ZT23_wt_4"
"AT2G27402"	NA	NA	"2745565"	"DOWN"	"Rhythmic"	"-5.917059"	" 0.55611477"	"-46.781632"	"2.332610e-66"	"1.370175e-62"	"136.03636267"	"DOWN"	"Rhythmic"	"6.683877e-10"	"4.005319e-11"	"24"	"21.0"	"0.9238318"	"1.3412715"	"1.545127e+01"	" 3.92564807"	" 3.10435326"	" 3.53347206"	" 3.40605441"	" 4.20400492"	" 3.53394092"	" 3.70859919"	" 3.97416811"	" 3.12129340"	" 2.86675858"	" 2.6191526"	" 2.34194148"	" 2.82235507"	" 2.49852778"	" 2.767834030"	" 2.08795079"	" 1.61168396"	" 2.13302731"	" 0.8651475"	"-0.105476293"	" 1.0421749"	" 1.0259157"	" 2.88056196"	" 1.08451569"	" 3.61517239"	" 2.240474231"	" 1.70706085"	" 3.28143434"	" 3.27839587"	" 2.78264382"	" 2.44393776"	" 3.58516414"	" 2.37457377"	" 3.82793685"	" 3.294228221"	" 3.58888573"	" 3.54336330"	" 3.54406595"	" 3.11115267"	" 4.438674414"	" 4.00732104"	" 4.0939713"	" 3.99008378"	" 4.14432939"	" 4.20080934"	" 3.92188529"	" 4.656746419"
"AT2G25450"	"GSL-OH"	"encodes a protein whose sequence is similar to ACC oxidase"	"817083"	"DOWN"	"Rhythmic"	"-4.234795"	" 4.54389982"	"-29.363111"	"8.715326e-49"	"1.919768e-45"	" 99.36244643"	"DOWN"	"Rhythmic"	"1.607619e-07"	"1.831857e-08"	"24"	" 6.0"	"1.4810518"	"1.4871465"	"1.771213e+02"	" 5.47653162"	" 5.05315956"	" 6.33009295"	" 4.93051742"	" 7.06236576"	" 6.85783128"	" 7.09560624"	" 7.04446957"	" 7.38410544"	" 7.66557568"	" 7.8676165"	" 7.86179889"	" 7.02702851"	" 7.28853916"	" 7.844249900"	" 7.51041765"	" 7.78710900"	" 7.32177645"	" 7.8893228"	" 8.242536085"	" 6.5007529"	" 6.9831415"	" 7.10248538"	" 6.98855465"	" 7.27112156"	" 7.100241803"	" 6.60849748"	" 6.73571313"	" 4.65133082"	" 4.31089483"	" 4.81226628"	" 3.97590955"	" 4.88520645"	" 4.85151311"	" 4.658285688"	" 5.32339589"	" 5.73100030"	" 5.19060947"	" 5.91228130"	" 5.415894045"	" 5.19093786"	" 5.1449886"	" 5.17148687"	" 5.72504013"	" 5.33651928"	" 4.29762276"	" 4.897630670"
"AT5G24780"	"ATVSP1"	"encodes an acid phosphatase similar to soybean vegetative storage proteins. Gene expression is induced by wounding and jasmonic acid."	"832547"	"UP"	"Rhythmic"	" 4.135635"	" 6.56298859"	" 14.779445"	"3.978026e-26"	"2.417268e-23"	" 48.92855328"	"UP"	"Rhythmic"	"3.049736e-07"	"3.726071e-08"	"24"	"10.0"	"2.3911299"	"2.7466774"	"1.624487e+02"	" 5.35799808"	" 1.36501011"	" 5.68376085"	" 2.43704096"	" 4.25570845"	" 3.68096570"	" 3.61991059"	" 6.47473756"	" 6.51520293"	" 8.94426568"	" 6.4055849"	" 8.55062559"	" 5.35404912"	" 7.70883631"	" 9.731402795"	" 6.35871630"	" 8.56774675"	" 7.20098700"	" 8.5199138"	" 8.766575467"	" 7.7669404"	" 7.5026581"	" 9.11369961"	" 8.37273599"	" 8.76877915"	" 6.549733879"	" 8.42648983"	" 5.88900153"	" 6.52618820"	" 7.11687178"	" 6.90290853"	" 5.23296160"	" 4.04334049"	" 7.01139371"	" 5.497788685"	" 6.38727574"	" 4.38537202"	" 5.93772683"	" 3.82402713"	" 5.050719971"	" 4.05224548"	" 3.6906665"	" 5.60037601"	" 3.81416705"	" 1.42442945"	" 3.68914876"	" 5.646461542"
"AT5G24770"	"ATVSP2"	"Has acid phosphatase activity dependent on the presence of divalent cations (Mg2+, Co2+, Zn2+, Mn2+) and anti-insect activity. Insects fed with the protein show a retarded development. Induced in response to abscisic acid, jasmonic acid, salt, water deficiency and wounding."	"832546"	"UP"	"Rhythmic"	" 3.346174"	" 7.49623748"	" 12.197091"	"5.439661e-21"	"2.229249e-18"	" 37.28135804"	"UP"	"Rhythmic"	"2.085738e-07"	"2.439398e-08"	"24"	" 9.0"	"1.8530129"	"2.6291206"	"3.826030e+02"	" 7.02385094"	" 4.41031213"	" 7.11868262"	" 4.43190677"	" 8.33964445"	" 6.89346271"	" 6.76457533"	" 8.11258696"	" 8.74300280"	"11.48604472"	" 9.0637581"	"11.19950038"	" 7.18977334"	" 9.59278806"	"11.549988087"	" 8.92188430"	"10.52999560"	" 9.20799413"	"10.6502140"	"10.638254585"	" 9.8567162"	" 9.3575556"	"10.47687466"	"10.25073685"	"10.22777304"	" 8.195512265"	" 9.74113673"	" 7.37792307"	" 8.23786667"	" 9.38513132"	" 8.93300345"	" 6.74676103"	" 5.74708213"	" 8.09932009"	" 7.380411718"	" 8.07695588"	" 5.96368484"	" 7.48084321"	" 4.84886819"	" 6.961266180"	" 5.94311549"	" 5.9791145"	" 7.64233914"	" 6.06287588"	" 4.47050951"	" 5.74752466"	" 7.476714461"
"AT4G15210"	"AT-BETA-AMY"	"cytosolic beta-amylase expressed in rosette leaves and inducible by sugar. RAM1 mutants have reduced beta amylase in leaves and stems."	"827185"	"UP"	"Rhythmic"	" 3.074666"	" 0.35168498"	"  9.318755"	"5.720969e-15"	"1.180401e-12"	" 23.60016076"	"UP"	"Rhythmic"	"2.317584e-04"	"5.798564e-05"	"24"	" 8.0"	"1.5011949"	"1.1664551"	"5.528072e-01"	"-0.51273322"	"-1.56611387"	"-2.03320170"	"-1.79420241"	" 0.46928509"	" 0.83237687"	"-1.63409232"	"-0.45124136"	"-0.99101242"	" 2.39060004"	" 1.8920681"	" 2.20989618"	"-1.67355278"	" 0.14524848"	" 1.650933917"	" 0.46127163"	" 0.05155605"	" 1.01814093"	" 0.8549479"	" 0.766686592"	"-0.1540128"	"-1.0096612"	" 0.28422820"	" 1.58913733"	" 1.46805668"	"-0.001900472"	" 0.95428420"	"-0.22984828"	"-1.76732782"	"-2.11699311"	"-1.15441427"	"-0.66037854"	"-1.23646588"	"-0.64774750"	" 0.040626670"	" 0.20902587"	"-1.59921781"	"-0.91945724"	"-2.04787502"	"-1.862051239"	"-1.73567271"	"-1.7520114"	"-1.94449843"	"-1.57155434"	"-1.57692233"	"-1.87466647"	" 0.538935007"
"AT1G02340"	"FBI1"	"Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1."	"839300"	"UP"	"Rhythmic"	" 2.848392"	"-0.33835866"	" 13.099307"	"8.026568e-23"	"3.722215e-20"	" 41.43781263"	"UP"	"Rhythmic"	"1.883497e-03"	"5.936297e-04"	"24"	" 3.0"	"0.6411040"	"0.6737241"	"1.954219e-01"	"-0.24039037"	"-0.82901284"	"-1.49709428"	" 0.81217597"	" 0.76482190"	" 0.99467972"	" 2.07077302"	" 0.90053838"	" 1.44785372"	" 0.30058965"	" 0.7446878"	" 0.73024334"	"-1.22871730"	"-0.77814616"	" 0.675973890"	"-1.01013070"	"-0.61367139"	" 1.08413230"	"-1.1359929"	"-0.772720248"	"-2.4178256"	"-1.5504497"	"-0.67014537"	"-1.44797096"	"-0.75719579"	"-0.592741662"	"-0.55287564"	"-0.86195194"	"-1.08135833"	"-1.01008411"	"-1.92785304"	"-0.05914630"	"-1.19698266"	"-0.02089911"	"-1.782669048"	"-1.30360863"	"-0.88718198"	"-1.02951883"	"-1.61796356"	"-0.989821657"	" 0.39462787"	"-0.4256408"	"-1.22406684"	"-0.85332600"	" 1.41281482"	" 0.43274710"	"-0.198247004"
"AT4G17470"	"CRSH"	NA	"827458"	"UP"	"Rhythmic"	" 2.681999"	" 2.07809269"	"  8.184059"	"1.408442e-12"	"2.051204e-10"	" 18.17317479"	"UP"	"Rhythmic"	"1.124364e-05"	"2.007292e-06"	"24"	"10.0"	"1.6070792"	"1.8215496"	"4.391181e+00"	"-0.12335661"	"-0.62568067"	"-0.63662601"	"-1.95128923"	" 2.84309923"	" 0.99526101"	" 0.02262847"	" 0.76972207"	" 2.41905312"	" 4.49896199"	" 1.1175192"	" 3.40974427"	" 0.21320833"	" 2.23480246"	" 4.911222301"	" 1.08596026"	" 3.27337361"	" 2.27883341"	" 3.6893324"	" 4.439211247"	" 3.0499949"	" 1.3665029"	" 3.87165712"	" 2.53432975"	" 3.78807695"	" 0.229209635"	" 2.47142935"	" 2.36352346"	" 1.66280435"	" 1.47575681"	" 1.46797238"	" 2.44257841"	"-1.95723500"	" 0.76995973"	"-0.279916880"	" 1.84869132"	" 1.53611862"	" 1.14212022"	"-0.44384537"	"-0.688878087"	" 1.34582891"	" 0.5416783"	" 1.43625582"	"-0.63351268"	"-1.81815590"	"-1.91020728"	"-0.609032755"
"AT2G23680"	NA	NA	"816899"	"DOWN"	"Rhythmic"	"-2.346090"	"-0.01680489"	"-10.975324"	"1.847945e-18"	"6.262403e-16"	" 31.53138398"	"DOWN"	"Rhythmic"	"1.167402e-03"	"3.496508e-04"	"24"	"16.0"	"0.8932193"	"0.8165384"	"1.660281e+00"	" 2.16610679"	" 1.72262602"	" 0.98234731"	" 1.33837505"	" 0.02935043"	"-0.35546474"	" 1.18023895"	" 0.46653891"	" 0.26693832"	" 0.53726927"	" 0.3385887"	"-0.09310884"	"-2.47019576"	" 0.08347740"	"-1.921697049"	" 0.66597341"	" 0.87708095"	" 1.68462104"	" 0.2126460"	"-0.172091256"	" 1.3764354"	" 0.8679454"	" 2.03640651"	" 1.38823665"	" 1.80047209"	" 2.740444864"	" 1.93169393"	" 2.25634945"	" 0.95639169"	" 2.36210719"	" 2.52841638"	" 1.21214925"	" 1.93662012"	" 2.00030448"	" 1.712885151"	" 1.15683853"	" 0.47804150"	" 1.18120816"	" 1.05029109"	" 1.029172622"	" 2.09722490"	" 1.9207851"	"-1.14175797"	" 1.73355395"	" 0.25164683"	" 0.69865521"	" 1.930501479"
"AT4G16590"	"ATCSLA01"	"encodes a gene similar to cellulose synthase"	"827360"	"UP"	"Rhythmic"	" 2.294786"	" 0.44791561"	"  6.122639"	"2.182170e-08"	"1.429524e-06"	"  8.70418757"	"UP"	"Rhythmic"	"1.265371e-03"	"3.823687e-04"	"24"	" 6.0"	"1.4407663"	"1.6325040"	"1.428085e+00"	"-0.39310301"	"-0.34069935"	" 2.78164296"	"-0.85741220"	" 2.13405426"	" 3.01633588"	"-0.32299335"	" 2.84775652"	" 2.86014886"	" 3.67290102"	" 2.8764866"	" 3.68294096"	"-0.69802956"	" 1.79039278"	" 3.002314081"	" 0.54772161"	" 1.56627024"	"-0.63253733"	" 1.8226649"	" 1.702082871"	" 3.8229525"	" 1.3583518"	"-0.18547293"	" 2.75115347"	" 3.81685960"	" 3.144892866"	" 3.27196676"	" 2.67866907"	" 1.22190955"	"-0.67024821"	"-0.40680328"	"-0.29937523"	"-0.84995455"	" 1.50847360"	"-1.157997019"	"-0.46684786"	"-0.41543210"	"-1.44276250"	"-1.34247398"	" 0.735997397"	"-0.69679850"	"-1.0505091"	"-1.45529816"	"-0.37496637"	"-0.47128094"	"-0.16270944"	" 0.029896988"
"AT2G22980"	"SCPL13"	NA	"816829"	"UP"	"Rhythmic"	" 2.134475"	" 3.89478623"	" 10.810375"	"4.093212e-18"	"1.311465e-15"	" 30.74658526"	"UP"	"Rhythmic"	"6.426274e-07"	"8.511477e-08"	"24"	" 6.0"	"0.6586825"	"1.2519902"	"9.535662e+00"	" 0.58494448"	" 0.49308059"	" 0.85478071"	" 0.06835875"	" 0.64294957"	" 1.46586525"	" 0.31450098"	" 1.67668863"	" 2.68922469"	" 2.58250417"	" 2.4226195"	" 2.90710902"	" 2.81510496"	" 3.58788097"	" 3.386377891"	" 3.12153585"	" 2.47143776"	" 3.04487386"	" 1.6992334"	" 1.656925540"	" 0.6084082"	" 1.9157317"	" 1.83260007"	" 1.20186430"	" 0.94260937"	" 0.617323042"	" 0.73241674"	" 0.62959894"	" 1.23528720"	" 1.49994714"	" 0.69277594"	" 0.82967842"	"-0.31791440"	"-0.34580230"	" 0.165845731"	" 0.57701251"	" 0.86053244"	"-1.06640661"	" 0.26741258"	" 0.952268509"	" 0.09426287"	" 1.5179444"	" 0.45382728"	" 0.51919204"	" 1.56690560"	" 1.35206990"	" 1.194756894"
"AT2G29650"	"ANTR1"	"Encodes an inorganic phosphate transporter (PHT4;1) that  is localized to the thylakoid membrane."	"817515"	"UP"	"Rhythmic"	" 1.977170"	" 4.44107412"	" 18.423565"	"9.004494e-33"	"1.057848e-29"	" 63.92188339"	"UP"	"Rhythmic"	"8.213737e-22"	"1.118657e-24"	"24"	" 4.0"	"3.7654098"	"3.7011599"	"1.281742e+02"	" 5.82318442"	" 5.92067472"	" 6.53428559"	" 6.11138020"	" 6.46895459"	" 7.13098494"	" 6.92155003"	" 6.71205196"	" 6.81716718"	" 6.71534076"	" 7.0009750"	" 7.16982478"	" 6.31756089"	" 6.49490725"	" 6.598142016"	" 6.59676491"	" 5.66162154"	" 5.91415240"	" 5.9864541"	" 5.953710497"	" 3.6365874"	" 3.7248045"	" 3.37504016"	" 3.85204961"	" 2.68060139"	" 0.975635489"	" 1.94862333"	" 2.15681004"	" 0.78619492"	" 0.38772945"	"-0.38109096"	" 0.42915651"	"-0.33003219"	"-1.18706181"	" 0.963247107"	" 0.78401988"	" 0.36624930"	" 0.04694834"	" 0.28378357"	" 2.306174272"	" 0.75757260"	" 1.2424587"	" 1.80844291"	" 3.74082066"	" 4.21979829"	" 4.23283024"	" 4.018889118"
"AT1G76960"	NA	NA	"844031"	"DOWN"	"Rhythmic"	"-1.902169"	" 4.14853602"	" -9.317335"	"5.760666e-15"	"1.180401e-12"	" 23.59334034"	"DOWN"	"Rhythmic"	"7.778610e-10"	"4.793764e-11"	"24"	"10.0"	"1.1279468"	"1.5856027"	"7.141599e+01"	" 3.71949067"	" 4.67393391"	" 3.68194905"	" 5.06762656"	" 4.62727268"	" 5.18152649"	" 5.19014542"	" 5.37549289"	" 5.40276906"	" 5.25279201"	" 6.9087798"	" 6.43893145"	" 6.27411524"	" 5.60808624"	" 4.970519053"	" 5.89271756"	" 6.44261402"	" 5.93944421"	" 6.7841405"	" 6.004706700"	" 7.1545158"	" 6.4501811"	" 6.59234689"	" 7.00466155"	" 4.86203482"	" 6.295095104"	" 6.64425457"	" 5.79439619"	" 4.29162822"	" 4.25373086"	" 5.41512466"	" 4.06495093"	" 6.24502306"	" 4.97778989"	" 5.164866623"	" 5.09247256"	" 4.02084008"	" 4.28789572"	" 5.35938915"	" 2.996029827"	" 4.40954904"	" 3.3988629"	" 3.11944291"	" 3.77365765"	" 2.42398070"	" 1.49048793"	" 4.252432699"
"AT2G45660"	"AGL20"	"Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of development. AGL20/SOC1 acts with AGL24 to promote flowering and inflorescence meristem identity.AGL20 upregulates expression of AGL24 in response to GA."	"819174"	"UP"	"Rhythmic"	" 1.848658"	" 3.20204835"	" 13.454222"	"1.565068e-23"	"7.879896e-21"	" 43.04845699"	"UP"	"Rhythmic"	"2.681375e-07"	"3.237979e-08"	"24"	" 7.0"	"0.9488110"	"1.0957949"	"5.750159e+00"	" 1.15585835"	" 1.76490457"	" 0.67874185"	" 1.65423572"	" 2.68022097"	" 3.16827148"	" 3.05059311"	" 3.11563262"	" 4.43125523"	" 4.30409474"	" 4.3183326"	" 4.04495325"	" 4.29277233"	" 3.99074116"	" 4.826924234"	" 4.75595622"	" 4.28089067"	" 3.46366678"	" 3.7582818"	" 3.458669013"	" 2.8970912"	" 3.1336418"	" 2.58791603"	" 3.27667618"	" 3.38394226"	" 2.644924309"	" 2.98063682"	" 2.38082393"	" 2.21490792"	" 3.28060129"	" 3.08843529"	" 2.89360857"	" 2.69881323"	" 2.06695912"	" 1.700972383"	" 2.12280543"	" 2.64478364"	" 2.14561246"	" 2.45702748"	" 1.455334221"	" 2.11285868"	" 2.3773727"	" 2.23048789"	" 2.98477534"	" 2.12752575"	" 1.28259977"	" 2.478456606"
"AT1G06040"	"BBX24"	"Encodes salt tolerance protein (STO) which confers salt tolerance to yeast cells. Fully complements calcineurin deficient yeast but does not encode a phosphoprotein phosphatase. Sequence has similarities to CONSTANS. STO co-localizes with COP1 and plays a role in light signaling."	"837113"	"UP"	"Rhythmic"	" 1.785632"	" 6.23250039"	" 11.143777"	"8.217760e-19"	"3.016945e-16"	" 32.33106263"	"UP"	"Rhythmic"	"1.998361e-17"	"1.213396e-19"	"24"	" 4.0"	"3.7780773"	"4.3379835"	"7.607928e+02"	" 8.45641907"	" 8.39875664"	" 8.48686965"	" 8.41204239"	" 8.52625837"	" 8.45067006"	" 8.49860245"	" 8.44656118"	" 8.28443494"	" 8.14661087"	" 7.8933775"	" 8.35476012"	" 7.35867876"	" 7.61394440"	" 7.671057244"	" 7.48842136"	" 6.79709887"	" 6.81665634"	" 6.7806232"	" 6.813536095"	" 5.6879600"	" 5.9416146"	" 5.38503435"	" 5.70525428"	" 4.57262503"	" 3.434668518"	" 3.42709987"	" 4.08905353"	" 0.40699937"	" 0.33832113"	"-0.36282935"	"-0.18735357"	"-0.02729857"	"-0.04627886"	"-0.248129538"	" 0.51839551"	" 1.33171864"	" 0.66895143"	" 0.80971628"	" 1.973840398"	" 2.41571040"	" 2.5527937"	" 2.03474493"	" 5.74233000"	" 6.22991865"	" 5.43044695"	" 5.499626941"
"AT2G47180"	"AtGolS1"	NA	"819331"	"UP"	"Rhythmic"	" 1.722277"	" 0.86140946"	"  6.902406"	"6.198594e-10"	"5.810193e-08"	" 12.18987551"	"UP"	"Rhythmic"	"2.812714e-13"	"6.623972e-15"	"24"	" 4.0"	"2.5641703"	"2.7684707"	"6.088545e+00"	" 3.31177785"	" 2.92007387"	" 3.87887053"	" 3.23440008"	" 4.26255336"	" 2.94119154"	" 3.51200925"	" 4.10223490"	" 3.65587672"	" 4.44677823"	" 5.0537260"	" 4.78306786"	" 2.33379044"	" 2.65735806"	" 2.332487776"	" 2.88361733"	" 1.64310284"	" 1.22355603"	" 0.5600401"	" 1.362718965"	"-0.7760411"	" 0.4768872"	"-0.37404304"	"-0.01730328"	"-0.55994335"	" 0.322164594"	"-1.18478847"	"-1.52310271"	"-1.66513673"	"-2.19982331"	"-1.29379660"	"-0.37043629"	"-0.95120545"	"-1.60803404"	"-1.035002599"	"-1.24727564"	"-1.54394261"	"-1.73874157"	"-1.07856704"	"-1.406612416"	"-0.60742187"	"-1.2815060"	"-1.22598353"	" 1.52930396"	" 0.95227053"	" 0.63297267"	"-1.856468157"
